country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",12-02-2026 01:00:00,29.027200,77.062100,NH3,11,11,11
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",12-02-2026 01:00:00,30.1480566,77.2893471,NH3,4,4,4
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",12-02-2026 01:00:00,30.943887,76.801991,NO2,9,47,30
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",12-02-2026 01:00:00,30.943887,76.801991,SO2,24,126,67
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",12-02-2026 01:00:00,34.031606,75.009712,PM10,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",12-02-2026 01:00:00,34.06313,74.96017,PM2.5,NA,NA,NA
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",12-02-2026 01:00:00,28.060249,76.113115,PM10,64,154,105
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",12-02-2026 01:00:00,28.060249,76.113115,NH3,6,21,12
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",12-02-2026 01:00:00,28.3153,76.9143,NO2,2,53,22
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",12-02-2026 01:00:00,30.7057778,76.8531805555555,PM2.5,19,81,58
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",12-02-2026 01:00:00,29.432304,76.972765,SO2,18,19,19
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",12-02-2026 01:00:00,29.432304,76.972765,OZONE,30,30,30
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",12-02-2026 01:00:00,28.52123,76.37138,PM2.5,60,319,177
India,Haryana,Jind,"Police Lines, Jind - HSPCB",12-02-2026 01:00:00,29.307814,76.337619,SO2,2,13,4
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",12-02-2026 01:00:00,29.8006,76.4155,NH3,NA,NA,NA
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",12-02-2026 01:00:00,29.966942,76.875879,NO2,16,22,19
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",12-02-2026 01:00:00,27.9002,76.9938,NO2,18,23,21
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",12-02-2026 01:00:00,27.9002,76.9938,SO2,31,38,34
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",12-02-2026 01:00:00,25.599486,85.113666,PM10,81,181,117
India,Bihar,Patna,"Samanpura, Patna - BSPCB",12-02-2026 01:00:00,25.596727,85.085624,OZONE,7,93,16
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",12-02-2026 01:00:00,25.366336,87.117468,SO2,15,27,17
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",12-02-2026 01:00:00,25.892357,86.590325,NO2,6,8,7
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",12-02-2026 01:00:00,28.6811736,77.3025234,PM10,117,287,200
India,Delhi,Delhi,"ITO, Delhi - CPCB",12-02-2026 01:00:00,28.628624,77.241060,NO2,22,126,61
India,Delhi,Delhi,"ITO, Delhi - CPCB",12-02-2026 01:00:00,28.628624,77.241060,SO2,5,20,14
India,Delhi,Delhi,"ITO, Delhi - CPCB",12-02-2026 01:00:00,28.628624,77.241060,CO,10,107,46
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-02-2026 01:00:00,28.732820,77.170633,NO2,106,167,133
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-02-2026 01:00:00,28.732820,77.170633,NH3,15,41,34
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-02-2026 01:00:00,28.732820,77.170633,SO2,45,68,54
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",12-02-2026 01:00:00,28.656756,77.227234,NH3,7,27,12
India,Delhi,Delhi,"DTU, Delhi - CPCB",12-02-2026 01:00:00,28.7500499,77.1112615,SO2,28,31,30
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",12-02-2026 01:00:00,28.498571,77.264840,PM10,125,388,212
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",12-02-2026 01:00:00,28.498571,77.264840,OZONE,3,173,31
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",12-02-2026 01:00:00,28.5918245,77.2273074,PM10,122,402,206
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",12-02-2026 01:00:00,28.636429,77.201067,NO2,62,243,120
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",12-02-2026 01:00:00,28.636429,77.201067,NH3,5,13,9
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",12-02-2026 01:00:00,23.041137,72.456691,NH3,8,17,12
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",12-02-2026 01:00:00,23.041137,72.456691,CO,22,47,35
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",12-02-2026 01:00:00,23.023389,72.515201,NH3,5,29,12
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",12-02-2026 01:00:00,23.076793,72.627874,PM2.5,37,128,68
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",12-02-2026 01:00:00,23.076793,72.627874,SO2,2,10,6
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",12-02-2026 01:00:00,21.613267,73.010555,NO2,26,27,26
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",12-02-2026 01:00:00,21.613267,73.010555,CO,33,86,62
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",12-02-2026 01:00:00,21.755417,72.139056,NH3,5,8,6
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",12-02-2026 01:00:00,21.755417,72.139056,SO2,9,103,33
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",12-02-2026 01:00:00,21.755417,72.139056,CO,115,127,122
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-02-2026 01:00:00,23.163798,72.677768,PM10,107,375,177
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-02-2026 01:00:00,23.163798,72.677768,CO,14,68,47
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",12-02-2026 01:00:00,23.221714,72.654328,SO2,5,13,9
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",12-02-2026 01:00:00,23.593150,72.372792,PM2.5,29,186,80
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",12-02-2026 01:00:00,23.593150,72.372792,CO,147,168,153
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",12-02-2026 01:00:00,22.248853,70.776774,PM2.5,13,201,79
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",12-02-2026 01:00:00,22.248853,70.776774,CO,106,128,116
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",12-02-2026 01:00:00,22.248853,70.776774,OZONE,6,29,14
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",12-02-2026 01:00:00,28.5504249,77.2159377,NO2,24,38,30
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",12-02-2026 01:00:00,28.710508,77.249485,PM2.5,107,450,280
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",12-02-2026 01:00:00,28.531346,77.190156,NH3,4,8,5
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",12-02-2026 01:00:00,28.531346,77.190156,OZONE,2,119,32
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-02-2026 01:00:00,28.672342,77.315260,NO2,26,127,67
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",12-02-2026 01:00:00,28.699793,77.165453,PM2.5,98,471,292
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",12-02-2026 01:00:00,28.699793,77.165453,NO2,130,350,265
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",12-02-2026 01:00:00,28.570173,76.933762,CO,8,122,16
India,Delhi,Delhi,"Narela, Delhi - DPCC",12-02-2026 01:00:00,28.822836,77.101981,PM2.5,110,402,266
India,Delhi,Delhi,"Narela, Delhi - DPCC",12-02-2026 01:00:00,28.822836,77.101981,PM10,123,416,231
India,Delhi,Delhi,"Narela, Delhi - DPCC",12-02-2026 01:00:00,28.822836,77.101981,CO,17,70,50
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",12-02-2026 01:00:00,28.567890,77.250515,PM10,126,415,249
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",12-02-2026 01:00:00,28.567890,77.250515,SO2,9,111,22
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",12-02-2026 01:00:00,21.217779 ,72.834787 ,SO2,41,101,64
India,Gujarat,Surat,"Science Center, Surat - SMC",12-02-2026 01:00:00,21.170046,72.795405,PM2.5,2,163,75
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",12-02-2026 01:00:00,22.320153,73.216285,PM10,36,212,107
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",12-02-2026 01:00:00,22.320153,73.216285,NO2,11,30,20
India,Delhi,Delhi,"Mundka, Delhi - DPCC",12-02-2026 01:00:00,28.684678,77.076574,PM2.5,107,456,319
India,Delhi,Delhi,"Mundka, Delhi - DPCC",12-02-2026 01:00:00,28.684678,77.076574,CO,30,112,55
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",12-02-2026 01:00:00,28.60909,77.0325413,SO2,9,21,15
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",12-02-2026 01:00:00,28.570173,76.933762,NO2,60,144,88
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-02-2026 01:00:00,23.107969,72.574648,NH3,1,5,4
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",12-02-2026 01:00:00,23.020509,72.579261,PM2.5,39,190,75
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",12-02-2026 01:00:00,23.020509,72.579261,PM10,111,163,137
India,Delhi,Delhi,"Pusa, Delhi - IMD",12-02-2026 01:00:00,28.636110,77.173332,PM10,68,403,188
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",12-02-2026 01:00:00,28.563262,77.186937,SO2,7,41,25
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",12-02-2026 01:00:00,23.020509,72.579261,NH3,10,61,24
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",12-02-2026 01:00:00,23.016834,72.625775,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",12-02-2026 01:00:00,12.951913,77.539784,CO,8,68,28
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",12-02-2026 01:00:00,12.9756843,77.5660749,NO2,32,36,34
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",12-02-2026 01:00:00,13.029152,77.585901,PM2.5,60,180,101
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",12-02-2026 01:00:00,13.029152,77.585901,PM10,72,130,100
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",12-02-2026 01:00:00,12.920984,77.584908,PM10,72,113,97
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",12-02-2026 01:00:00,12.920984,77.584908,NO2,8,50,28
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",12-02-2026 01:00:00,12.920984,77.584908,OZONE,26,102,59
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",12-02-2026 01:00:00,12.7816279,77.6299145,PM10,61,122,98
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",12-02-2026 01:00:00,12.7816279,77.6299145,NO2,17,25,22
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",12-02-2026 01:00:00,28.4227,77.0667,SO2,4,7,5
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",12-02-2026 01:00:00,28.4275,77.1465,PM10,91,243,155
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",12-02-2026 01:00:00,28.4275,77.1465,CO,62,104,64
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",12-02-2026 01:00:00,28.4501238,77.0263051,PM10,130,497,222
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",12-02-2026 01:00:00,28.4501238,77.0263051,NO2,9,45,26
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",12-02-2026 01:00:00,29.140560,75.744941,PM2.5,36,76,57
India,Haryana,Jind,"Police Lines, Jind - HSPCB",12-02-2026 01:00:00,29.307814,76.337619,SO2,2,13,4
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",12-02-2026 01:00:00,29.8006,76.4155,NH3,NA,NA,NA
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",12-02-2026 01:00:00,29.027200,77.062100,NO2,12,13,12
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",12-02-2026 01:00:00,29.027200,77.062100,NH3,11,11,11
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",12-02-2026 01:00:00,30.1480566,77.2893471,NH3,4,4,4
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",12-02-2026 01:00:00,30.943887,76.801991,NO2,9,47,30
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",12-02-2026 01:00:00,30.943887,76.801991,SO2,24,126,67
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",12-02-2026 01:00:00,34.031606,75.009712,PM10,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",12-02-2026 01:00:00,34.06313,74.96017,PM2.5,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",12-02-2026 01:00:00,34.06313,74.96017,SO2,NA,NA,NA
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",12-02-2026 01:00:00,29.966942,76.875879,NO2,16,22,19
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",12-02-2026 01:00:00,27.9002,76.9938,NO2,18,23,21
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",12-02-2026 01:00:00,27.9002,76.9938,SO2,31,38,34
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",12-02-2026 01:00:00,27.9002,76.9938,OZONE,23,32,27
